"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003134","603912350029","","PD5505-29","PD5505-29","KING COCK 10 COCK BROWN","0","2","$149.98","$0.00","$149.98","$160.48","$51.72","$98.26","65.52%"
"210000034425","889166800033","","RGO-VB-1003","AS060-2","CASSIE MINI WAND - PINK","0","2","$139.98","$0.00","$139.98","$149.43","$40.00","$99.98","71.42%"
"210000034703","817483012457","","SCO-AFNG-PU-101","AFNG-PU-101","CHARGED FING O VOOOM MINI VIBE - PURPLE","0","1","$34.99","$10.68","$24.31","$26.01","$20.81","$3.50","14.4%"
"210000006017","603912320527","","PD4430-00","PD4430-00","FFLE WARTENBERG WHEEL","0","2","$17.98","$0.00","$17.98","$19.42","$4.80","$13.18","73.3%"
"210000033903","889166800620","","SI-ML-8006","WLMC-06","HEADS N TAILS FLESH","0","4","$143.96","$0.00","$143.96","$153.86","$79.90","$64.06","44.5%"
"210000000259","735380150174","","BL-15017","BL-15017","AU NATUREL MIGUEL","0","1","$39.99","$0.00","$39.99","$42.79","$8.98","$31.01","77.54%"
"210000018368","603912255904","","PD9563-63","PD9563-63","COMFORTABLY NUMB DEEP THROAT SPRAY MINT CHOCOLATE","0","6","$59.94","$0.00","$59.94","$61.53","$16.20","$43.74","72.97%"
"210000033935","889166800941","","SI-ML-8038","XS-MA60044","DANIS  ASS","0","1","$14.99","$0.00","$14.99","$16.04","$5.82","$9.17","61.17%"
"210000004006","716770071798","","SE-0725-50-3","SE-0725-50-3","POSH PETITE TEASER MASSAGER - PINK","0","1","$36.99","$0.00","$36.99","$39.58","$11.75","$25.24","68.23%"
"210000005074","716770086266","","SE-0840-40-3","SE-0840-40-3","SHOWER STUD SUPER STUD VIBRATING DILDO - CHOCOLATE","0","2","$99.98","$0.00","$99.98","$103.48","$20.90","$79.08","79.09%"
"210000004457","839289006393","","WV-WVSNBLSGA","WVSNBLSGA","WE-VIBE BLOOM CORAL","0","1","$99.99","$0.00","$99.99","$107.99","$54.00","$45.99","45.99%"
